,Variables_name,Variables,Importance
0,NK细胞,NK细胞,0.7093667918816209
11,NK细胞-F3,NK细胞-F3,0.16624944156501442
4,抗卵巢抗体-F,抗卵巢抗体-F,0.1527922265813686
1,Infertility-related SCORE,Infertility-related SCORE,0.13450153736630455
8,APS SCORE,APS SCORE,0.08972345013171434
2,抗心磷脂抗体-F,抗心磷脂抗体-F,0.06717381038470194
3,抗子宫内膜抗体-F,抗子宫内膜抗体-F,0.054126890579937026
7,抗心磷脂抗体IgM-F,抗心磷脂抗体IgM-F,0.042099513026187196
5,抗精子抗体-F,抗精子抗体-F,0.04135181356105022
10,抗核抗体筛查-F,抗核抗体筛查-F,0.03799883808824234
6,抗心磷脂抗体IgG-F,抗心磷脂抗体IgG-F,0.024405899908742867
9,抗β2糖蛋白I抗体IgG-F,抗β2糖蛋白I抗体IgG-F,0.009344575649265607
